,reward,num_moves,num_completed_suits,seed
0,110.0,116.0,0.0,0
1,55.0,123.0,0.0,1
2,276.0,154.0,1.0,2
3,0.0,100.0,0.0,3
4,127.0,137.0,0.0,4
5,-23.0,89.0,0.0,5
6,98.0,112.0,0.0,6
7,80.0,114.0,0.0,7
8,65.0,115.0,0.0,8
9,119.0,117.0,0.0,9
10,119.0,137.0,0.0,10
11,208.0,152.0,2.0,11
12,-34.0,96.0,0.0,12
13,210.0,122.0,1.0,13
14,15.0,101.0,0.0,14
15,132.0,118.0,0.0,15
16,50.0,108.0,0.0,16
17,69.0,107.0,0.0,17
18,93.0,117.0,0.0,18
19,242.0,130.0,1.0,19
20,180.0,140.0,1.0,20
21,78.0,112.0,0.0,21
22,157.0,121.0,1.0,22
23,82.0,142.0,0.0,23
24,66.0,120.0,0.0,24
25,30.0,106.0,0.0,25
26,141.0,133.0,0.0,26
27,52.0,112.0,0.0,27
28,-5.0,101.0,0.0,28
29,36.0,110.0,0.0,29
30,-12.0,108.0,0.0,30
31,-21.0,105.0,0.0,31
32,25.0,119.0,0.0,32
33,150.0,114.0,1.0,33
34,9.0,103.0,0.0,34
35,-5.0,111.0,0.0,35
36,118.0,116.0,0.0,36
37,289.0,143.0,2.0,37
38,54.0,120.0,0.0,38
39,-19.0,109.0,0.0,39
40,60.0,114.0,0.0,40
41,-33.0,87.0,0.0,41
42,50.0,116.0,0.0,42
43,-72.0,84.0,0.0,43
44,191.0,139.0,1.0,44
45,14.0,110.0,0.0,45
46,218.0,148.0,1.0,46
47,137.0,131.0,0.0,47
48,160.0,132.0,1.0,48
49,149.0,137.0,1.0,49
50,175.0,117.0,0.0,50
51,274.0,164.0,1.0,51
52,-29.0,107.0,0.0,52
53,76.0,122.0,0.0,53
54,265.0,131.0,1.0,54
55,41.0,123.0,0.0,55
56,77.0,125.0,0.0,56
57,213.0,149.0,1.0,57
58,-25.0,91.0,0.0,58
59,220.0,130.0,1.0,59
60,140.0,112.0,1.0,60
61,63.0,125.0,0.0,61
62,82.0,124.0,0.0,62
63,70.0,134.0,0.0,63
64,168.0,134.0,1.0,64
65,213.0,131.0,1.0,65
66,18.0,108.0,0.0,66
67,73.0,117.0,0.0,67
68,231.0,153.0,2.0,68
69,303.0,139.0,1.0,69
70,183.0,145.0,1.0,70
71,7.0,107.0,0.0,71
72,149.0,143.0,1.0,72
73,338.0,146.0,2.0,73
74,1.0,109.0,0.0,74
75,6.0,94.0,0.0,75
76,279.0,151.0,2.0,76
77,254.0,146.0,2.0,77
78,52.0,112.0,0.0,78
79,-10.0,104.0,0.0,79
80,154.0,140.0,1.0,80
81,60.0,112.0,0.0,81
82,-14.0,108.0,0.0,82
83,294.0,168.0,2.0,83
84,24.0,102.0,0.0,84
85,78.0,130.0,0.0,85
86,17.0,125.0,0.0,86
87,88.0,124.0,0.0,87
88,430.0,162.0,3.0,88
89,191.0,131.0,1.0,89
90,174.0,144.0,1.0,90
91,85.0,127.0,0.0,91
92,89.0,109.0,0.0,92
93,-47.0,93.0,0.0,93
94,289.0,165.0,2.0,94
95,78.0,132.0,0.0,95
96,86.0,124.0,1.0,96
97,7.0,95.0,0.0,97
98,188.0,160.0,1.0,98
99,138.0,126.0,1.0,99
100,11.0,99.0,0.0,100
101,42.0,112.0,0.0,101
102,241.0,133.0,1.0,102
103,43.0,119.0,0.0,103
104,47.0,105.0,0.0,104
105,10.0,108.0,0.0,105
106,247.0,155.0,1.0,106
107,48.0,116.0,0.0,107
108,195.0,123.0,1.0,108
109,86.0,114.0,0.0,109
110,74.0,116.0,0.0,110
111,192.0,142.0,1.0,111
112,150.0,134.0,0.0,112
113,355.0,171.0,2.0,113
114,183.0,163.0,1.0,114
115,55.0,111.0,0.0,115
116,84.0,114.0,0.0,116
117,331.0,137.0,2.0,117
118,160.0,152.0,1.0,118
119,57.0,119.0,0.0,119
120,53.0,105.0,0.0,120
121,357.0,185.0,3.0,121
122,34.0,120.0,0.0,122
123,38.0,106.0,0.0,123
124,151.0,107.0,1.0,124
125,48.0,110.0,0.0,125
126,5.0,99.0,0.0,126
127,45.0,119.0,0.0,127
128,163.0,131.0,0.0,128
129,85.0,115.0,0.0,129
130,66.0,124.0,0.0,130
131,86.0,122.0,0.0,131
132,151.0,133.0,1.0,132
133,6.0,106.0,0.0,133
134,-45.0,93.0,0.0,134
135,48.0,106.0,0.0,135
136,115.0,121.0,0.0,136
137,129.0,125.0,0.0,137
138,71.0,125.0,0.0,138
139,344.0,155.0,1.0,139
140,3.0,117.0,0.0,140
141,233.0,148.0,1.0,141
142,67.0,119.0,1.0,142
143,-10.0,106.0,0.0,143
144,-4.0,102.0,0.0,144
145,34.0,112.0,0.0,145
146,233.0,151.0,2.0,146
147,163.0,131.0,1.0,147
148,-25.0,99.0,0.0,148
149,4.0,112.0,0.0,149
150,240.0,156.0,2.0,150
151,218.0,138.0,1.0,151
152,150.0,136.0,0.0,152
153,13.0,119.0,0.0,153
154,16.0,116.0,0.0,154
155,133.0,127.0,0.0,155
156,-5.0,99.0,0.0,156
157,244.0,150.0,2.0,157
158,210.0,140.0,1.0,158
159,219.0,135.0,1.0,159
160,107.0,127.0,1.0,160
161,21.0,105.0,0.0,161
162,126.0,134.0,1.0,162
163,190.0,154.0,2.0,163
164,267.0,146.0,2.0,164
165,7.0,107.0,0.0,165
166,44.0,110.0,1.0,166
167,286.0,118.0,2.0,167
168,140.0,118.0,1.0,168
169,405.0,169.0,3.0,169
170,40.0,108.0,0.0,170
171,19.0,113.0,0.0,171
172,-19.0,103.0,0.0,172
173,282.0,134.0,1.0,173
174,171.0,149.0,1.0,174
175,212.0,175.0,1.0,175
176,76.0,126.0,1.0,176
177,92.0,116.0,0.0,177
178,224.0,132.0,1.0,178
179,84.0,132.0,1.0,179
180,517.0,200.0,5.0,180
181,0.0,108.0,0.0,181
182,188.0,120.0,1.0,182
183,69.0,117.0,0.0,183
184,99.0,142.0,0.0,184
185,423.0,173.0,3.0,185
186,139.0,131.0,0.0,186
187,60.0,116.0,0.0,187
